Speed,Angel,Timestamp,State
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[61, 68, -69, -73]","[7964, 6271, 32748, 28605]","[206796, 206791, 206793, 206794]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[54, 92, -56, -65]","[8061, 9739, 29264, 20890]","[210996, 210991, 210993, 210994]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
"[60, 82, -66, -82]","[11846, 16681, 22547, 9217]","[215796, 215791, 215793, 215794]","[0, 0, 0, 0]"
