Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,0.0,0.0,0.0
0.20914,0.03019,-0.98033,0.01497,0.05149,-0.01996
-0.014,0.10481,-0.99651,0.02184,0.03378,0.10583
0.18093,-0.0286,-1.02675,-0.03198,0.02435,0.05089
-0.05858,-0.00605,-1.00966,0.03231,0.02829,0.01885
0.05827,0.20998,-0.98624,0.0085,-0.0061,0.04587
-0.07029,0.03309,-1.01087,-0.06898,-0.01365,-0.03914
-0.15908,0.05522,-0.99735,-0.00703,-0.01797,-0.09178
0.07975,-0.03137,-0.98507,0.03082,0.03217,0.04761
0.05276,0.19845,-1.03047,0.06492,0.04233,-0.01908
-0.07416,0.00871,-1.00396,-0.04814,-0.07533,-0.0314
0.1427,-0.01262,-0.99805,0.02043,-0.02296,-0.00611
-0.00477,-0.04845,-0.9782,0.02799,0.07466,0.1118
0.01042,0.10844,-1.02172,-0.00777,0.00834,-0.01121
0.24733,0.01953,-0.98212,0.03293,-0.02577,-0.00029
-0.05479,-0.01457,-1.01579,0.07728,-0.01361,0.02712
-0.00335,0.02029,-1.01642,-0.05187,0.03341,0.04161
-0.09788,-0.03745,-1.00447,0.04483,-0.02762,0.03003
0.07352,0.02168,-1.03001,0.06995,-0.02433,0.03064
-0.19838,-0.00876,-0.99012,0.00972,-0.00906,0.01803
-0.01752,0.06705,-0.97798,0.02349,0.03928,0.01246
