,index,center_x,e x,e y,u x,u y,x
0,0,640.0,22.0,-46.0,-11.413,0,618
1,1,640.0,22.0,-46.0,-11.899,0,618
2,2,640.0,22.0,-46.0,-12.46,0,618
3,3,640.0,22.0,-46.0,-12.967,0,618
4,4,640.0,22.0,-46.0,-13.594,0,618
5,5,640.0,16.0,-46.0,-11.135,0,624
6,6,640.0,11.0,-46.0,-9.074,0,629
7,7,640.0,11.0,-46.0,-9.34,0,629
8,8,640.0,0.0,-47.0,-4.163,0,640
9,9,640.0,-5.0,-46.0,-1.686,0,645
10,10,640.0,-5.0,-46.0,-1.565,0,645
11,11,640.0,-11.0,-46.0,1.527,0,651
12,12,640.0,-15.0,-46.0,3.796,0,655
13,13,640.0,-15.0,-46.0,4.156,0,655
14,14,640.0,-16.0,-46.0,5.052,0,656
15,15,640.0,-16.0,-46.0,5.448,0,656
16,16,640.0,-16.0,-46.0,5.833,0,656
17,17,640.0,-16.0,-46.0,6.232,0,656
18,18,640.0,-13.0,-46.0,5.15,0,653
19,19,640.0,-10.0,-46.0,3.991,0,650
20,20,640.0,-8.0,-46.0,3.245,0,648
21,21,640.0,-8.0,-46.0,3.439,0,648
22,22,640.0,-4.0,-46.0,1.654,0,644
23,23,640.0,-2.0,-46.0,0.762,0,642
24,24,640.0,-2.0,-46.0,0.814,0,642
25,25,640.0,1.0,-46.0,-0.62,0,639
26,26,640.0,1.0,-46.0,-0.646,0,639
27,27,640.0,1.0,-46.0,-0.671,0,639
28,28,640.0,3.0,-46.0,-1.691,0,637
29,29,640.0,3.0,-46.0,-1.767,0,637
30,30,640.0,2.0,-46.0,-1.345,0,638
31,31,640.0,2.0,-46.0,-1.392,0,638
32,32,640.0,1.0,-46.0,-0.945,0,639
33,33,640.0,1.0,-46.0,-0.972,0,639
34,34,640.0,1.0,-46.0,-0.995,0,639
35,35,640.0,0.0,-46.0,-0.524,0,640
36,36,640.0,0.0,-46.0,-0.524,0,640
37,37,640.0,-1.0,-46.0,-0.03,0,641
38,38,640.0,-1.0,-46.0,-0.006,0,641
39,39,640.0,-4.0,-46.0,1.532,0,644
40,40,640.0,-5.0,-46.0,2.116,0,645
41,41,640.0,-7.0,-47.0,3.219,0,647
42,42,640.0,-7.0,-47.0,3.387,0,647
43,43,640.0,-11.0,-46.0,5.522,0,651
44,44,640.0,-14.0,-46.0,7.294,0,654
45,45,640.0,-14.0,-46.0,7.624,0,654
46,46,640.0,-16.0,-47.0,8.975,0,656
47,47,640.0,-17.0,-46.0,9.862,0,657
48,48,640.0,-17.0,-46.0,10.288,0,657
49,49,640.0,-17.0,-46.0,10.733,0,657
50,50,640.0,-16.0,-46.0,10.638,0,656
51,51,640.0,-15.0,-46.0,10.567,0,655
52,52,640.0,-15.0,-46.0,11.014,0,655
53,53,640.0,-13.0,-46.0,10.323,0,653
54,54,640.0,-10.0,-46.0,9.136,0,650
55,55,640.0,-10.0,-46.0,9.42,0,650
56,56,640.0,-8.0,-45.0,8.656,0,648
57,57,640.0,-7.0,-46.0,8.365,0,647
58,58,640.0,-7.0,-46.0,8.539,0,647
59,59,640.0,-2.0,-45.0,6.236,0,642
60,60,640.0,-2.0,-45.0,6.287,0,642
61,61,640.0,0.0,-45.0,5.346,0,640
62,62,640.0,0.0,-45.0,5.346,0,640
63,63,640.0,1.0,-45.0,4.852,0,639
64,64,640.0,1.0,-45.0,4.827,0,639
65,65,640.0,0.0,-45.0,5.298,0,640
66,66,640.0,0.0,-45.0,5.298,0,640
67,67,640.0,0.0,-45.0,5.298,0,640
68,68,640.0,0.0,-45.0,5.298,0,640
69,69,640.0,0.0,-45.0,5.298,0,640
70,70,640.0,-1.0,-45.0,5.794,0,641
71,71,640.0,0.0,-45.0,5.324,0,640
72,72,640.0,-2.0,-45.0,6.333,0,642
73,73,640.0,-2.0,-45.0,6.363,0,642
74,74,640.0,-2.0,-45.0,6.418,0,642
75,75,640.0,-2.0,-45.0,6.466,0,642
76,76,640.0,-1.0,-45.0,6.019,0,641
77,77,640.0,-2.0,-45.0,6.543,0,642
78,78,640.0,-2.0,-45.0,6.589,0,642
79,79,640.0,-2.0,-45.0,6.638,0,642
80,80,640.0,0.0,-45.0,5.696,0,640
81,81,640.0,2.0,-45.0,4.709,0,638
82,82,640.0,2.0,-45.0,4.655,0,638
83,83,640.0,8.0,-45.0,1.624,0,632
84,84,640.0,9.0,-45.0,0.937,0,631
85,85,640.0,9.0,-45.0,0.724,0,631
86,86,640.0,11.0,-45.0,-0.493,0,629
87,87,640.0,15.0,-45.0,-2.733,0,625
88,88,640.0,16.0,-45.0,-3.605,0,624
89,89,640.0,16.0,-45.0,-4.009,0,624
90,90,640.0,16.0,-45.0,-4.413,0,624
91,91,640.0,16.0,-45.0,-4.824,0,624
92,92,640.0,16.0,-45.0,-5.191,0,624
93,93,640.0,14.0,-45.0,-4.633,0,626
94,94,640.0,13.0,-45.0,-4.498,0,627
95,95,640.0,13.0,-45.0,-4.806,0,627
96,96,640.0,9.0,-45.0,-3.161,0,631
97,97,640.0,9.0,-45.0,-3.366,0,631
98,98,640.0,9.0,-45.0,-3.583,0,631
99,99,640.0,8.0,-45.0,-3.305,0,632
100,100,640.0,8.0,-45.0,-3.508,0,632
101,101,640.0,8.0,-45.0,-3.709,0,632
102,102,640.0,8.0,-45.0,-3.908,0,632
103,103,640.0,9.0,-45.0,-4.611,0,631
104,104,640.0,10.0,-45.0,-5.329,0,630
105,105,640.0,10.0,-45.0,-5.586,0,630
106,106,640.0,13.0,-45.0,-7.295,0,627
107,107,640.0,13.0,-45.0,-7.629,0,627
108,108,640.0,13.0,-45.0,-7.942,0,627
109,109,640.0,13.0,-45.0,-8.264,0,627
110,110,640.0,13.0,-45.0,-8.58,0,627
111,111,640.0,11.0,-45.0,-7.94,0,629
112,112,640.0,11.0,-45.0,-8.217,0,629
113,113,640.0,10.0,-45.0,-7.971,0,630
114,114,640.0,10.0,-45.0,-8.219,0,630
115,115,640.0,10.0,-45.0,-8.502,0,630
116,116,640.0,10.0,-45.0,-8.725,0,630
117,117,640.0,9.0,-45.0,-8.47,0,631
118,118,640.0,9.0,-45.0,-8.697,0,631
119,119,640.0,9.0,-45.0,-8.921,0,631
120,120,640.0,8.0,-45.0,-8.659,0,632
121,121,640.0,8.0,-45.0,-8.853,0,632
122,122,640.0,8.0,-45.0,-9.058,0,632
123,123,640.0,6.0,-45.0,-8.256,0,634
124,124,640.0,4.0,-45.0,-7.419,0,636
125,125,640.0,4.0,-45.0,-7.513,0,636
126,126,640.0,1.0,-45.0,-6.127,0,639
127,127,640.0,1.0,-45.0,-6.152,0,639
128,128,640.0,0.0,-45.0,-5.681,0,640
129,129,640.0,0.0,-45.0,-5.681,0,640
130,130,640.0,-1.0,-45.0,-5.185,0,641
131,131,640.0,0.0,-45.0,-5.656,0,640
132,132,640.0,0.0,-45.0,-5.656,0,640
133,133,640.0,0.0,-45.0,-5.656,0,640
134,134,640.0,0.0,-45.0,-5.656,0,640
135,135,640.0,0.0,-45.0,-5.656,0,640
136,136,640.0,0.0,-45.0,-5.656,0,640
137,137,640.0,1.0,-45.0,-6.153,0,639
138,138,640.0,1.0,-45.0,-6.176,0,639
139,139,640.0,1.0,-45.0,-6.2,0,639
140,140,640.0,1.0,-45.0,-6.227,0,639
141,141,640.0,1.0,-45.0,-6.251,0,639
142,142,640.0,1.0,-45.0,-6.277,0,639
143,143,640.0,2.0,-45.0,-6.797,0,638
144,144,640.0,2.0,-45.0,-6.844,0,638
145,145,640.0,2.0,-45.0,-6.893,0,638
146,146,640.0,2.0,-45.0,-6.945,0,638
147,147,640.0,3.0,-45.0,-7.494,0,637
148,148,640.0,3.0,-45.0,-7.565,0,637
149,149,640.0,2.0,-45.0,-7.144,0,638
150,150,640.0,2.0,-45.0,-7.192,0,638
151,151,640.0,2.0,-45.0,-7.239,0,638
152,152,640.0,2.0,-45.0,-7.294,0,638
153,153,640.0,1.0,-45.0,-6.848,0,639
154,154,640.0,1.0,-45.0,-6.873,0,639
155,155,640.0,1.0,-45.0,-6.901,0,639
156,156,640.0,2.0,-45.0,-7.414,0,638
157,157,640.0,1.0,-45.0,-6.968,0,639
158,158,640.0,1.0,-45.0,-6.993,0,639
159,159,640.0,1.0,-45.0,-7.018,0,639
160,160,640.0,1.0,-45.0,-7.042,0,639
161,161,640.0,1.0,-45.0,-7.068,0,639
162,162,640.0,1.0,-45.0,-7.092,0,639
163,163,640.0,1.0,-46.0,-7.117,0,639
164,164,640.0,2.0,-45.0,-7.638,0,638
165,165,640.0,2.0,-45.0,-7.686,0,638
166,166,640.0,2.0,-45.0,-7.733,0,638
167,167,640.0,2.0,-46.0,-7.792,0,638
168,168,640.0,5.0,-46.0,-9.317,0,635
169,169,640.0,5.0,-46.0,-9.437,0,635
170,170,640.0,5.0,-46.0,-9.569,0,635
171,171,640.0,5.0,-46.0,-9.751,0,635
172,172,640.0,5.0,-46.0,-9.832,0,635
173,173,640.0,5.0,-46.0,-9.942,0,635
174,174,640.0,5.0,-46.0,-10.065,0,635
175,175,640.0,3.0,-46.0,-9.194,0,637
176,176,640.0,3.0,-46.0,-9.274,0,637
177,177,640.0,3.0,-46.0,-9.348,0,637
178,178,640.0,2.0,-46.0,-8.927,0,638
179,179,640.0,2.0,-47.0,-8.98,0,638
180,180,640.0,2.0,-47.0,-9.027,0,638
181,181,640.0,1.0,-45.0,-8.579,0,639
182,182,640.0,1.0,-45.0,-8.605,0,639
183,183,640.0,1.0,-45.0,-8.632,0,639
184,184,640.0,0.0,-43.0,-8.161,0,640
185,185,640.0,0.0,-42.0,-8.161,0,640
186,186,640.0,0.0,-42.0,-8.161,0,640
187,187,640.0,0.0,-42.0,-8.161,0,640
188,188,640.0,0.0,-43.0,-8.161,0,640
189,189,640.0,0.0,-43.0,-8.161,0,640
190,190,640.0,0.0,-43.0,-8.161,0,640
191,191,640.0,0.0,-43.0,-8.161,0,640
192,192,640.0,0.0,-43.0,-8.161,0,640
193,193,640.0,0.0,-43.0,-8.161,0,640
194,194,640.0,0.0,-43.0,-8.161,0,640
195,195,640.0,1.0,-42.0,-8.658,0,639
196,196,640.0,2.0,-43.0,-9.176,0,638
197,197,640.0,2.0,-43.0,-9.225,0,638
198,198,640.0,3.0,-42.0,-9.771,0,637
199,199,640.0,6.0,-42.0,-11.329,0,634
200,200,640.0,5.0,-42.0,-10.982,0,635
201,201,640.0,5.0,-42.0,-11.112,0,635
202,202,640.0,6.0,-41.0,-11.739,0,634
203,203,640.0,6.0,-40.0,-11.892,0,634
204,204,640.0,6.0,-40.0,-12.029,0,634
205,205,640.0,4.0,-40.0,-11.191,0,636
206,206,640.0,3.0,-40.0,-10.791,0,637
207,207,640.0,2.0,-40.0,-10.373,0,638
208,208,640.0,2.0,-40.0,-10.426,0,638
209,209,640.0,0.0,-40.0,-9.485,0,640
210,210,640.0,0.0,-40.0,-9.485,0,640
211,211,640.0,0.0,-40.0,-9.485,0,640
212,212,640.0,-1.0,-40.0,-8.99,0,641
213,213,640.0,-2.0,-39.0,-8.471,0,642
214,214,640.0,-2.0,-40.0,-8.421,0,642
215,215,640.0,-2.0,-40.0,-8.371,0,642
216,216,640.0,-4.0,-39.0,-7.333,0,644
217,217,640.0,-5.0,-39.0,-6.738,0,645
218,218,640.0,-6.0,-39.0,-6.105,0,646
219,219,640.0,-6.0,-39.0,-5.97,0,646
220,220,640.0,-6.0,-39.0,-5.818,0,646
221,221,640.0,-6.0,-39.0,-5.668,0,646
222,222,640.0,-6.0,-39.0,-5.511,0,646
223,223,640.0,-6.0,-39.0,-5.367,0,646
224,224,640.0,-5.0,-39.0,-5.715,0,645
225,225,640.0,-5.0,-39.0,-5.595,0,645
226,226,640.0,-5.0,-39.0,-5.464,0,645
227,227,640.0,-6.0,-39.0,-4.843,0,646
228,228,640.0,-8.0,-38.0,-3.282,0,648
229,229,640.0,-9.0,-39.0,-2.14,0,649
230,230,640.0,-9.0,-39.0,-1.888,0,649
231,231,640.0,-9.0,-39.0,-1.705,0,649
232,232,640.0,-10.0,-39.0,-1.002,0,650
233,233,640.0,-11.0,-39.0,-0.277,0,651
234,234,640.0,-11.0,-39.0,-0.004,0,651
235,235,640.0,-14.0,-40.0,1.806,0,654
236,236,640.0,-14.0,-40.0,2.114,0,654
237,237,640.0,-16.0,-40.0,4.368,0,656
238,238,640.0,-16.0,-40.0,4.688,0,656
239,239,640.0,-16.0,-40.0,4.985,0,656
240,240,640.0,-16.0,-40.0,5.641,0,656
241,241,640.0,-17.0,-40.0,6.375,0,657
242,242,640.0,-13.0,-40.0,5.192,0,653
243,243,640.0,-13.0,-40.0,5.508,0,653
244,244,640.0,-9.0,-40.0,4.01,0,649
245,245,640.0,-9.0,-40.0,4.262,0,649
246,246,640.0,-9.0,-40.0,4.471,0,649
247,247,640.0,-8.0,-40.0,4.195,0,648
248,248,640.0,-9.0,-40.0,4.887,0,649
249,249,640.0,-9.0,-40.0,5.116,0,649
250,250,640.0,-8.0,-40.0,4.848,0,648
251,251,640.0,-8.0,-40.0,5.053,0,648
252,252,640.0,-8.0,-40.0,5.237,0,648
253,253,640.0,-7.0,-40.0,4.957,0,647
254,254,640.0,-8.0,-40.0,5.623,0,648
255,255,640.0,-7.0,-40.0,5.329,0,647
256,256,640.0,-7.0,-40.0,5.491,0,647
257,257,640.0,-6.0,-40.0,5.175,0,646
258,258,640.0,-7.0,-40.0,5.831,0,647
259,259,640.0,-7.0,-40.0,5.992,0,647
260,260,640.0,-9.0,-38.0,7.238,0,649
261,261,640.0,-7.0,-40.0,6.41,0,647
262,262,640.0,-7.0,-40.0,6.578,0,647
263,263,640.0,-7.0,-40.0,6.753,0,647
264,264,640.0,-7.0,-40.0,6.931,0,647
265,265,640.0,-7.0,-40.0,7.106,0,647
266,266,640.0,-7.0,-40.0,7.289,0,647
267,267,640.0,-7.0,-40.0,7.475,0,647
268,268,640.0,-6.0,-40.0,7.132,0,646
