Speed,Angel,Timestamp,State
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
"[59, 51, -32, -44]","[31793, 3969, 14908, 906]","[343746, 343747, 343749, 343744]","[0, 0, 0, 0]"
