Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.30318,-0.0051,-1.0081,0.0015,-0.04599,0.11634
-0.20673,-0.03368,-0.98933,-0.03024,-0.01907,0.0387
0.10197,0.02314,-1.00835,0.04114,0.02874,0.01037
0.15035,0.02289,-0.98785,0.00138,0.05757,0.00039
-0.04668,-0.01375,-0.96197,0.01341,0.05376,-0.00547
-0.09953,0.02612,-0.95497,0.01346,0.00253,-0.02497
-0.10948,0.00607,-0.946,0.02188,0.00413,-0.01463
0.03601,0.04216,-1.0191,0.03576,-0.04391,-0.00542
-0.11481,0.28803,-1.01286,-0.04617,0.01518,-0.33903
0.00625,-0.02651,-0.98278,0.04918,0.04365,-0.04083
0.00753,0.09726,-0.94722,0.11641,-0.0263,-0.03671
0.00696,0.14261,-1.01792,0.01984,0.03428,-0.03636
-0.02734,-0.029,-1.0141,-0.02273,0.01378,0.03413
0.00138,-0.0247,-1.00941,0.03749,0.00535,-0.00049
-0.01079,-0.00808,-0.97215,-0.00232,-0.03938,-0.00152
-0.02075,-0.00534,-0.94691,-0.05779,0.07418,-0.01575
-0.02314,0.063,-1.01116,-0.02685,-0.02356,-0.0007
0.00528,-0.08214,-0.98068,0.01719,-0.02505,0.07123
-0.21295,0.01684,-0.99008,0.0462,0.01935,-0.0004
-0.11101,0.01639,-0.99478,-0.00655,-0.04363,-0.04728
0.17585,0.04609,-1.00557,-0.02992,0.0303,-0.06752
0.05915,-0.0025,-1.01818,0.02435,0.0141,-0.00582
-0.14807,-0.02942,-0.99037,-0.03248,0.01674,0.0427
-0.07744,-0.0085,-0.99075,0.01075,0.01736,0.01993
0.08472,0.00461,-0.99396,0.01263,0.01364,0.0161
0.04679,-0.04774,-0.98701,0.0206,-0.00242,0.05101
0.09077,0.01688,-0.99342,0.01456,-0.00615,0.03396
0.01291,0.0027,-0.99355,-0.00262,0.00394,-0.0079
-0.03649,-0.14756,-0.94688,0.01125,0.00773,0.00412
-0.02665,-0.12825,-1.00018,0.00408,0.00864,-0.05675
0.02864,-0.04222,-1.00283,0.01424,0.0009,0.0821
0.00686,0.13039,-1.02157,-0.09539,0.03111,-0.05392
-0.07116,-0.0503,-0.9975,-0.01406,0.00757,0.04121
-0.00081,0.03384,-0.97833,0.05857,0.06691,-0.0344
0.04832,-0.01939,-1.01423,-0.00281,0.04484,0.02166
-0.00128,0.1014,-0.9721,-0.02033,0.03196,0.0378
0.00958,0.0968,-0.99212,0.00533,0.00498,-0.18625
0.10792,-0.00562,-0.98807,-0.01912,-0.02719,0.03828
0.21528,-0.00137,-1.00317,-0.05395,0.04927,0.01362
-0.05246,-0.00273,-1.02253,0.00687,-0.00566,-0.00318
-0.15579,-0.0085,-0.99088,-0.02024,-0.02451,-0.01856
0.02278,-0.02545,-1.0063,-0.01609,0.01313,-0.00128
0.09583,-0.03639,-1.00883,-0.04907,0.02652,0.07025
-0.05846,-0.02722,-0.99737,-0.01428,0.00898,0.03561
