Position X,Position Y,Position Z
0.0,0.0,0.0
0.02105,0.00011,0.0
0.06276,0.00047,0.0
0.08737,0.00058,0.0
0.117,0.00019,0.0
0.15628,0.00108,0.0
0.1828,0.00136,0.0
0.22153,0.00203,0.0
0.25859,0.0026,0.0
0.29009,0.00379,0.0
0.33316,0.00461,0.0
0.36812,0.0051,0.0
0.40575,0.00536,0.0
0.44881,0.00597,0.0
0.48434,0.00595,0.0
0.51833,0.00643,0.0
0.54179,0.00643,0.0
0.56246,0.00644,0.0
0.58052,0.00624,0.0
0.56909,0.02663,0.0
0.5725,0.06597,0.0
0.57618,0.09382,0.0
0.57737,0.11853,0.0
0.58061,0.15023,0.0
0.58172,0.17749,0.0
0.58445,0.22675,0.0
0.58581,0.25906,0.0
0.58652,0.29292,0.0
0.58864,0.33014,0.0
0.58919,0.36586,0.0
0.58939,0.40414,0.0
0.59033,0.4424,0.0
0.58923,0.48073,0.0
0.58892,0.51484,0.0
0.58909,0.53757,0.0
0.58742,0.56271,0.0
0.58911,0.57892,0.0
0.58927,0.58069,0.0
0.56297,0.58056,0.0
0.53039,0.5825,0.0
0.51211,0.58402,0.0
0.481,0.58687,0.0
0.45184,0.58756,0.0
0.4274,0.58886,0.0
0.39185,0.5909,0.0
0.36464,0.59114,0.0
0.33438,0.59282,0.0
0.29908,0.5942,0.0
0.27153,0.5945,0.0
0.23604,0.5953,0.0
0.20248,0.59533,0.0
0.17197,0.59477,0.0
0.13415,0.59317,0.0
0.10274,0.59031,0.0
0.07776,0.5898,0.0
0.0549,0.58837,0.0
0.0382,0.58762,0.0
0.02549,0.58652,0.0
0.02036,0.58561,0.0
0.03558,0.56004,0.0
0.03701,0.52218,0.0
0.04005,0.49763,0.0
0.04092,0.4531,0.0
0.04163,0.42547,0.0
0.04213,0.39633,0.0
0.04131,0.36164,0.0
0.04207,0.332,0.0
0.04227,0.29782,0.0
0.04133,0.26334,0.0
0.04192,0.23038,0.0
0.04064,0.19347,0.0
0.03948,0.1578,0.0
0.039,0.12161,0.0
0.03641,0.08706,0.0
0.0359,0.04106,0.0
0.0,0.0,0.0
0.01059,0.00269,0.0
0.04661,0.00455,0.0
0.07883,0.00548,0.0
0.1019,0.0056,0.0
0.14043,0.00615,0.0
0.17109,0.00633,0.0
0.20267,0.00671,0.0
0.24252,0.00685,0.0
0.2733,0.00733,0.0
0.31233,0.0078,0.0
0.36722,0.00837,0.0
0.40612,0.00915,0.0
0.42791,0.00937,0.0
0.48374,0.00987,0.0
0.51816,0.00987,0.0
0.53988,0.01012,0.0
0.56318,0.01017,0.0
0.5822,0.01009,0.0
0.57588,0.02853,0.0
0.57564,0.0637,0.0
0.57987,0.09292,0.0
0.57999,0.1176,0.0
0.58326,0.15089,0.0
0.58541,0.18065,0.0
0.58609,0.2132,0.0
0.58955,0.24833,0.0
0.59036,0.2816,0.0
0.59169,0.31897,0.0
0.59383,0.35544,0.0
0.59365,0.39236,0.0
0.59452,0.43084,0.0
0.59455,0.46906,0.0
0.59309,0.50671,0.0
0.59392,0.53349,0.0
