tof0,tof1,tof2,tof3
851,0,0,0
786,0,0,0
721,0,0,0
658,0,0,0
590,0,0,0
504,0,0,0
424,0,0,0
347,0,0,0
302,0,0,0
274,0,0,0
267,0,0,0
257,0,0,0
253,0,0,0
244,0,0,0
248,0,0,0
903,0,0,0
1377,0,0,0
2400,0,0,0
2701,0,0,0
2742,0,0,0
2818,0,0,0
2871,0,0,0
2940,0,0,0
2957,0,0,0
2786,0,0,0
2537,0,0,0
2023,0,0,0
1775,0,0,0
1778,0,0,0
1744,0,0,0
1705,0,0,0
1686,0,0,0
1326,0,0,0
891,0,0,0
816,0,0,0
809,0,0,0
813,0,0,0
816,0,0,0
816,0,0,0
752,0,0,0
689,0,0,0
658,0,0,0
557,0,0,0
475,0,0,0
392,0,0,0
317,0,0,0
266,0,0,0
226,0,0,0
221,0,0,0
211,0,0,0
205,0,0,0
195,0,0,0
888,0,0,0
1008,0,0,0
1163,0,0,0
1562,0,0,0
1538,0,0,0
1443,0,0,0
1666,0,0,0
1960,0,0,0
2102,0,0,0
2193,0,0,0
2052,0,0,0
2270,0,0,0
2089,0,0,0
2265,0,0,0
2468,0,0,0
2808,0,0,0
2363,0,0,0
1977,0,0,0
977,0,0,0
802,0,0,0
770,0,0,0
776,0,0,0
775,0,0,0
710,0,0,0
645,0,0,0
586,0,0,0
507,0,0,0
425,0,0,0
341,0,0,0
272,0,0,0
218,0,0,0
187,0,0,0
181,0,0,0
173,0,0,0
167,0,0,0
157,0,0,0
1512,0,0,0
1988,0,0,0
2411,0,0,0
2876,0,0,0
3242,0,0,0
3180,0,0,0
3186,0,0,0
3112,0,0,0
2240,0,0,0
2062,0,0,0
2023,0,0,0
2049,0,0,0
1913,0,0,0
1904,0,0,0
2097,0,0,0
2106,0,0,0
1879,0,0,0
1665,0,0,0
1539,0,0,0
1416,0,0,0
844,0,0,0
750,0,0,0
745,0,0,0
753,0,0,0
